poem,subject,score_1,score_2,score_3,score_4,score_5,rt_1,rt_2,rt_3,rt_4,rt_5
13,285,4,4,4,5,5,1743,1695,2747,11262,1461
72,285,5,5,5,6,6,1870,995,535,8382,536
102,285,5,6,6,6,5,7425,1433,574,550,609
64,304,9,8,9,8,8,1683,2495,10329,1552,2511
12,306,3,5,4,5,6,5081,2502,18398,6718,13242
25,308,6,5,7,7,6,3463,15043,3991,4327,3420
94,308,6,7,7,7,7,12772,1579,1328,1592,2070
69,308,6,6,5,5,5,815,10253,958,710,3883
93,308,6,6,5,5,5,1003,11925,1645,1473,2266
123,309,4,2,1,2,5,4889,25019,7585,3043,2726
84,309,5,5,6,6,4,5417,3237,1859,15198,2106
51,310,3,1,3,3,5,7333,17307,7678,5732,3847
11,310,5,4,4,4,6,1844,1616,1008,2459,2700
8,309,4,5,3,7,6,416,2559,517,366,480
14,309,5,8,6,6,9,1320,5891,1769,5902,2410
1,310,5,0,5,4,6,2003,1866,1430,2781,2967
130,310,7,3,6,6,6,3395,2305,5438,3662,4408
8,312,0,0,0,0,0,1364,5589,15306,4083,1758
69,312,0,0,1,0,0,914,657,1131,7780,1442
41,312,0,0,0,1,0,658,6006,528,493,719
64,312,0,0,0,0,0,4439,459,702,402,589
140,315,3,5,7,8,6,16255,940,1028,993,632
54,315,7,9,5,4,8,249,165,166,222,212
91,316,4,6,6,5,6,140,81,83,45,92
4,316,5,4,4,4,5,65,97,99,98,2538
97,316,6,4,6,4,4,200,338,118,181,283
97,316,6,4,6,4,4,200,338,118,181,283
142,317,7,7,8,8,7,9425,13294,4604,3675,3840
63,318,6,8,8,8,6,19789,9491,3544,2054,4892
8,318,5,7,7,7,6,9732,3411,1359,3774,3676
17,317,6,6,5,6,5,56422,4584,5649,4146,3639
102,318,8,8,7,8,8,2894,1744,2417,12069,2052
124,317,7,6,6,7,6,13951,2521,1854,2766,7890
1,317,5,4,5,5,4,10289,10051,1803,2282,1916
55,318,6,7,7,7,7,18519,2402,4004,9620,1840
8,330,9,9,9,9,9,1158,2451,16414,7789,1374
31,330,9,9,9,8,8,542,3436,559,944,509
33,330,9,9,9,8,8,545,532,599,502,527
72,330,8,9,9,9,9,493,480,522,468,469
149,333,5,6,3,4,7,8754,8531,8862,9609,5685
66,333,4,3,1,6,2,7034,4314,2505,2632,8264
69,333,4,7,5,5,6,7437,16326,3415,8044,1687
35,333,7,9,7,7,9,1711,2326,4820,5931,1270
90,334,3,2,4,4,2,27974,1813,2220,6541,3038
75,337,0,0,5,0,2,18843,5078,5239,4794,2512
62,337,3,9,6,3,5,4246,3426,2980,5909,4659
38,337,8,9,5,8,7,4311,4091,2167,1797,2505
55,337,8,9,7,3,6,3410,4580,2071,4608,1583
42,339,1,2,1,1,2,3228,2347,3459,1260,12047
38,339,4,5,4,4,5,549,213,218,360,239
97,339,4,1,0,0,1,548,648,11974,770,556
46,339,5,5,4,4,5,110,112,233,134,180
87,340,4,4,6,9,7,5401,2813,881,3391,693
36,340,7,7,8,7,8,64,92,85,94,56
125,340,7,7,7,8,8,22,66,39,80,33
125,340,7,7,7,8,8,22,66,39,80,33
99,340,8,7,8,8,7,72,94,19,86,62
57,343,8,7,8,7,8,6720,18964,976,743,1334
56,343,3,7,3,7,4,1595,224,181,105,252
102,343,4,4,4,7,7,67,83,31,49,83
101,343,7,5,3,4,7,63,54,31,31,32
101,343,7,5,3,4,7,63,54,31,31,32
137,344,7,6,7,7,6,6784,8121,1697,5238,3222
6,344,4,4,5,5,3,731,1590,5783,949,2196
121,344,6,8,6,6,4,651,4960,708,979,960
37,346,6,7,4,4,7,13838,2681,2932,2648,15193
62,348,2,3,6,6,2,331,722,597,387,1912
86,348,3,5,3,5,3,380,466,315,417,411
10,348,3,5,6,4,5,342,319,307,332,375
107,348,5,6,3,3,3,411,331,328,473,365
41,350,6,6,6,6,6,5925,374,1872,10705,261
146,350,6,6,6,5,6,634,607,328,710,473
130,350,6,6,6,5,6,652,553,600,417,456
118,350,8,6,7,7,6,429,433,733,592,404
23,353,4,5,3,6,5,2254,9990,3298,44859,4497
112,353,3,6,3,6,6,2961,3726,2377,2198,1212
9,356,4,3,7,8,6,10520,26282,9409,24828,4629
5,356,8,7,7,7,7,1571,2001,14221,1317,1598
50,356,3,3,3,3,4,907,1072,6549,1317,1149
92,356,3,3,4,3,3,418,432,7183,1667,523
20,359,4,5,5,6,4,3722,2516,2412,3609,11693
22,361,0,0,0,0,0,5936,9570,17735,4026,1876
131,361,0,0,4,0,0,3342,1878,7510,1327,2351
123,361,1,1,0,1,0,142,100,276,1740,192
61,361,1,1,1,1,1,97,134,139,113,63
61,361,1,1,1,1,1,97,134,139,113,63
112,363,5,6,8,7,7,1085,989,1075,6794,1231
33,363,8,8,8,7,5,571,726,373,727,567
72,363,6,8,6,7,9,544,474,455,519,438
86,366,6,6,4,4,4,44701,88,10084,58,7334
125,366,7,4,7,7,7,71,19,6530,11022,83
113,366,7,8,7,6,6,97,6451,7467,56,2938
66,366,8,6,5,6,5,20,2337,62,28,7785
38,367,4,4,4,4,3,91,1681,64,14834,9915
121,367,1,1,0,3,0,75,11899,87,13,2945
5,367,4,4,4,4,4,69,2262,1684,10538,94
27,367,4,6,6,6,6,15,1865,71,20975,57
127,370,9,5,9,5,5,9782,9779,8903,6374,1966
80,370,3,3,3,3,3,6086,4158,1639,3993,3599
113,371,1,6,2,4,3,2565,3048,2164,8602,15298
117,370,9,4,5,6,4,4214,4518,1845,2848,1550
101,371,3,3,3,2,4,2715,7221,2349,1241,4144
18,370,9,7,7,3,5,1630,2816,6949,5233,3214
104,371,7,6,4,6,8,1999,4583,13056,2030,2183
135,373,4,4,4,4,4,94,6293,13933,2996,74
81,371,1,2,1,1,1,1148,2501,3114,1030,1048
19,376,2,3,0,0,4,5231,13541,2969,3012,3164
59,377,0,0,0,0,7,2140,7060,829,18403,6152
36,376,7,6,5,5,8,4947,3036,3453,9891,1669
95,378,7,7,7,6,7,2578,3362,3542,3049,8311
131,376,8,8,7,7,8,1534,4730,1676,1481,6365
144,376,4,3,5,6,5,2052,1836,1390,4149,4110
26,378,3,3,6,3,5,9512,1791,3127,12635,3802
27,378,1,2,2,2,2,1777,1788,3647,1899,1591
26,379,6,3,4,3,4,21612,6840,7022,4270,3402
104,378,2,2,2,2,2,1216,7030,1125,1377,1218
23,379,5,5,4,5,5,2137,1651,7456,1503,1737
19,379,5,4,5,4,5,514,826,619,7697,1120
56,379,5,5,5,5,5,188,180,142,326,7277
56,379,5,5,5,5,5,188,180,142,326,7277
105,380,5,9,0,4,3,4477,14335,2692,17698,7501
145,380,4,2,4,6,5,2633,10384,4720,7257,2357
26,383,4,6,0,1,4,4106,6075,3717,2262,3438
9,380,4,6,3,2,2,3935,3414,3462,2076,12477
112,383,6,5,6,2,6,1601,6892,2749,2661,3328
82,383,2,1,0,2,3,3173,5081,1892,1381,2174
10,383,2,1,5,2,4,1487,1708,1433,4390,1621
19,380,6,2,6,7,8,2633,3278,53080,3035,4712
40,384,3,7,7,9,5,13441,6430,11734,5048,33161
14,386,9,9,9,9,9,31,69,63,43,199
150,385,2,0,0,0,0,2789,1631,5429,1995,9647
48,386,9,9,9,9,9,47,64,38,70,81
48,386,9,9,9,9,9,47,64,38,70,81
120,387,0,0,0,0,0,65,35,48,62,31
39,387,0,0,0,0,0,63,116,41,64,12
97,387,0,0,0,0,0,32,38,44,10,29
39,387,0,0,0,0,0,63,116,41,64,12
135,385,0,0,5,8,2,2195,2516,2162,15185,1712
129,385,1,0,0,2,0,1012,2202,1594,1966,8026
